	tconst	directors	producers	writers
3218	tt0449545	nm0539782,nm0375997,nm0811973,nm0230669,nm0188192,nm0547772,nm0841319,nm1636494,nm0999759,nm0569814		nm2038306,nm1203211,nm0646818,nm0504327,nm0748429,nm0272714,nm1597693,nm0186113,nm0048136,nm0134524,nm0397006,nm0338537,nm9557013,nm3774283,nm0315324,nm0089166,nm1191098,nm0690570,nm0509769,nm1707665,nm0399611,nm3453852,nm3774334,nm0398174,nm1569635,nm4046499,nm1406459,nm6784920,nm0833100,nm13300272,nm1837510,nm1014204,nm0835096,nm0266423,nm2534839,nm0769095,nm1116793,nm1335624,nm2993810,nm2854240,nm0832300,nm1640030,nm1439545,nm0523431,nm0386535,nm1414808,nm0929633,nm0003653,nm0915291,nm1632512,nm0328817,nm0561041,nm0122339,nm4713470,nm4215531,nm2105521
3219	tt0450920	nm0497385,nm3569766,nm2424525,nm3163115,nm0578840,nm0517777,nm1564600,nm0888083,nm0823245,nm0219065,nm1502567,nm1351893,nm1079355,nm1375248,nm0485153,nm0698107,nm1054575,nm1865134		nm1457529,nm0663991,nm1909491,nm2421360,nm1905291,nm1536291,nm1392884,nm1718095,nm1318972,nm2303153,nm2242713,nm0915869,nm1622215,nm0972384,nm2780692,nm3963599,nm2290667,nm1722289,nm0497385,nm1511143,nm4362600,nm3163115,nm1557894,nm1375248
3220	tt0810705	nm1841039,nm0038319		nm1303246
3221	tt0830298	nm2362649		nm1219736,nm1236653,nm2576916,nm0287482,nm0519763,nm0851809,nm0880204,nm2399856,nm6409046,nm1048706,nm2832527,nm2739541,nm0316043,nm1983140,nm0879201,nm0456158
3222	tt0979432	nm0007008,nm0887700,nm1264352,nm0000217,nm0148116,nm0026442,nm0002399,nm0080601,nm0851930,nm1047532,nm0687964,nm0658823,nm0002339,nm0804556		nm2583291,nm1010540,nm0466122,nm2943187,nm0466401,nm1096313,nm4234948,nm2555014,nm0465199,nm0281366,nm4546012,nm0619361,nm0799995,nm0887700,nm0296286,nm0352709,nm1289754,nm0773697,nm0826627,nm1721340,nm1212331,nm0653899,nm0877875,nm0227111
3223	tt10577736	nm0843491		nm1148564,nm10243712,nm3761383,nm0843491,nm0957801,nm3284478,nm12541801,nm6894475,nm4510168,nm5875611,nm2716658
3224	tt10801368	nm3505289,nm1514753		nm4194124,nm8195769,nm2107622
3225	tt11126994	nm7829396,nm8822595		nm1865649,nm0105169,nm11601652,nm13105261,nm3768922,nm3354758,nm13119125,nm3057044,nm13105263
3226	tt11685912	nm0315298,nm2091911,nm1541272,nm0872823		nm2599770,nm2859316,nm5505530,nm2217169,nm5271086
3227	tt12343534	nm4810022,nm11605063,nm7847387,nm9646660,nm9639013,nm6378016,nm4163778		nm12013605,nm5003154
3228	tt1235099	nm0940668,nm0206259,nm0686853,nm0035060,nm0203215,nm0542960,nm0533713,nm0006853,nm0322128,nm0689852,nm0926215,nm0113054,nm0641343,nm0602172,nm0067090,nm0424800,nm0506130,nm0124079,nm0755261,nm0956910,nm0644397,nm0444709,nm0002749,nm0005204,nm0485637,nm0004610,nm0777881,nm0156838,nm0371348		nm1345603,nm2024486,nm2027168,nm3636450,nm3192038,nm0142615,nm1175237,nm1175413,nm1802857,nm1267367,nm1933058,nm0251395,nm1631709,nm1238801,nm2861355,nm0535348,nm0843981,nm0179244,nm0289100,nm1236454,nm1335519,nm0805133,nm1332931,nm1935349,nm0052728,nm3153645,nm2542427,nm2276261,nm0901557
3229	tt1255913	nm0499724,nm0002835,nm0851930,nm0788426,nm0082450,nm0003163,nm0392237,nm0003474		nm0024718,nm2019550,nm1236625,nm0142620,nm1127337,nm1929856,nm1472469,nm0777372
