	tconst	directors	producers	writers
0	tt0160904	nm0001994,nm1168446,nm0149491,nm0355542,nm1142073,nm0047458,nm0391905,nm0534850,nm0322533,nm0933002,nm0387486,nm0132600,nm0522634,nm1012772,nm0000944,nm0777447,nm0589284,nm0006624,nm0620576,nm0726975,nm0536827,nm0801065,nm0066596,nm0912085,nm1016595		nm0938727,nm1522142,nm0107623,nm3122514,nm3123004,nm1016333,nm0189232,nm1308632,nm0910361,nm1906409,nm0564386,nm0819961,nm4403808,nm0801065,nm1645827,nm0507714,nm1231249,nm1825199,nm2393111,nm3684624,nm1201711,nm0624789,nm0592535,nm0047553,nm0334213
1	tt0204993	nm0941276,nm0638354,nm0518910,nm0506461,nm0002413,nm0942869,nm0931724,nm0641343,nm0027413,nm0283943,nm0003150,nm0926215,nm0142286,nm0163892,nm0176448,nm0319412,nm0470971,nm0788610,nm0484464,nm0545763,nm0722493,nm0818465,nm0082376,nm0066736,nm0000116,nm0471862,nm0833191,nm0343622		nm0000116,nm0251050,nm0596711,nm0215277,nm0248404,nm0951390,nm0250668,nm0029556,nm1201266,nm0361927,nm0202997,nm1922620,nm0799562,nm0860799,nm1266000,nm0066985,nm0343554,nm0423715
2	tt0205700	nm0793727,nm0005344,nm0005601,nm0578162,nm7919195,nm2114888,nm0448579,nm0614975,nm0362987,nm0504297,nm1390182,nm0497115,nm0025127,nm0790255,nm0075669,nm0155117		nm0362987,nm0448579,nm0864541,nm2196335,nm0604389,nm0576761,nm1042586,nm0143191,nm0394001,nm0792148,nm0487522,nm0279574,nm0608565,nm0256079,nm0824780,nm0859514,nm0041927,nm0004277,nm0128730,nm0742277,nm0766982,nm0796121,nm0858769
3	tt0206476	nm0779830,nm0481910,nm0581238,nm0336259,nm0944981,nm1074029,nm0561703,nm0414910		nm0829739,nm0849964,nm0255296,nm0085220,nm0526196,nm0779830,nm0035952,nm0046042,nm1250323,nm0287986,nm0642332,nm0779321,nm0833971,nm0938535,nm0900599,nm0086652,nm0277894,nm0289210,nm0582738
4	tt0206511	nm0000625,nm0743093,nm0573732,nm0049975,nm0388505,nm0934912,nm0447583,nm0211854,nm2705478,nm0213127,nm0381416,nm0333335,nm0390822,nm0314480,nm0825731,nm0387725,nm0147882,nm0675950,nm0239311,nm0411477,nm0727760,nm0112335,nm0912940,nm0509183		nm0355125,nm0605167,nm0887455,nm2667316,nm0277839,nm0453922,nm2457147,nm0271003,nm1353295,nm0435133,nm1852141,nm0805610,nm1061400,nm0213127,nm1202354,nm0897860,nm0912940,nm0121979,nm0727760,nm0112335,nm0573732
5	tt0210413	nm0521425,nm0047193,nm1006989		nm0541635,nm0608714,nm0003620,nm0227704,nm0382769,nm0445877,nm0447583
6	tt0212671	nm0390844,nm0578162,nm0477129,nm0195913,nm0490792,nm0410521,nm0919660,nm0522427,nm0186505,nm0800702,nm0095450,nm0343622,nm0762541,nm0044803,nm0717155,nm0462277,nm0545763,nm0828276,nm0137978,nm0557733		nm0095450,nm0323068,nm0123983,nm0614269,nm1545970,nm0465732,nm0717155,nm0051794,nm0649699,nm0860544,nm0485027,nm0383322,nm0880436,nm0137978,nm0096940,nm0438235,nm0451274,nm0828276,nm0724491,nm0463124,nm1754514,nm1753285,nm1052109,nm0360453,nm1807216,nm0024856,nm0066764,nm0833959,nm1164853,nm1162920,nm0137180,nm1841013,nm0693612,nm0148180,nm1510585
7	tt0212686	nm0853393,nm0757084,nm0282708,nm0528720,nm0879245,nm0444848,nm0386411,nm0124834		nm0282041,nm0528720,nm0545387,nm0804233
8	tt0213327	nm0877427,nm0217938,nm0283157,nm0817878,nm0471862,nm0363473,nm0197703,nm0003941,nm0247621,nm0894166,nm0599624,nm0733227,nm0737517,nm0578899,nm0939869,nm0781843,nm0931426,nm0913143,nm0779830,nm0693225		nm0734472,nm0938129,nm1005420,nm0826714,nm0452514,nm0718234,nm0053426,nm0053449,nm0889576,nm0257306,nm0418434,nm0804662,nm0924095,nm0941315,nm1135607,nm1698582,nm1140282,nm0583580,nm0008010,nm0296567,nm0395741,nm0456497,nm0940994,nm1949279,nm1005170,nm1005417,nm0144372,nm1072185,nm0582738,nm0583397,nm0784682
9	tt0219446	nm0588818,nm1016094,nm0999575,nm0429262,nm0395031,nm0949906,nm0453606,nm0909088,nm0565444,nm0418480		nm0724842,nm0643418,nm0118420,nm0813561,nm0225272,nm1223280,nm0474629
10	tt0220008	nm0335489		nm0008926,nm0591160,nm0627159,nm0639634
11	tt0220238	nm0799026,nm0176448,nm0636165,nm0320987,nm0944981,nm0124991,nm0198642,nm0252135,nm0864879,nm0256357,nm0343687,nm0337675,nm0002413,nm0632382,nm0697227,nm0004223,nm0058018,nm0322106,nm0398986,nm0939869,nm0941276,nm0203215		nm0799026,nm0322106,nm0506032,nm1757228,nm0649870,nm0822748,nm0921298,nm0401765,nm0082811,nm0076965,nm0991344,nm0239229,nm0300081,nm0338557,nm0991356,nm1149501,nm0701487,nm0920229,nm0040022,nm1003826,nm0606520,nm1113993
12	tt0220261	nm0535234,nm0773108,nm0797136,nm0423804,nm0269209,nm0282425,nm0649117		nm0861728,nm0358530,nm1122008,nm1008406,nm0350468,nm0861729,nm0771055,nm0759112,nm0418736,nm0421408,nm0647746
13	tt0220906	nm0368124,nm0344408,nm0065471,nm0336259,nm0403628,nm0481910,nm1074029		nm0606520,nm0086652,nm0476064,nm0649460,nm0710378,nm0035952,nm0046042,nm2920089,nm0178769,nm0287986,nm1297559,nm0415110,nm0415111,nm2917892,nm0470425,nm2274161,nm2051672,nm0583363,nm0909738
14	tt0233041	nm0653797		nm0041143,nm1434696,nm0114180,nm0287149,nm1159174,nm1622245,nm0571066,nm0674902,nm1093722,nm0842468,nm0743361,nm0370081,nm0349843,nm0065506,nm0833666,nm1115084,nm0319175,nm0140105,nm0572397,nm1085846,nm1587020,nm0365533,nm0905173,nm0382655,nm0382614,nm0848091,nm0188349,nm2715080,nm0783889,nm0824900,nm0363393,nm2862098,nm0578859,nm2008887,nm0465576,nm1646429
15	tt0233084	nm0835156		nm0578889,nm0562687,nm0142627,nm1633145,nm0018661,nm0104090,nm0263280,nm0801703,nm0493215,nm0679810,nm0006396,nm0376835,nm2163353,nm0813442
16	tt0235137	nm1309088,nm0096995,nm0563829,nm0876681,nm0028542,nm0003289,nm0616254,nm0004461,nm0490802		nm0605128,nm0821048,nm0825498,nm0691882,nm0936474,nm1024115,nm1309774,nm0024169,nm0008699,nm0288848,nm0313286,nm0435033,nm0097922,nm0520271,nm0000274,nm1024016,nm1313014,nm1058371,nm1292583,nm0365829,nm1024962,nm0821039,nm1091820
17	tt0235911	nm0728317,nm1094375,nm0188192,nm0448599,nm0547772,nm0589636,nm0068034,nm0450630,nm0539782,nm0779391		nm0438446,nm0143320,nm0190780,nm0458312,nm1034979,nm0031011,nm1279203,nm1202354,nm0897860,nm0961152,nm0716366,nm2006186,nm0338569,nm1125793,nm1050211,nm0612588,nm1322468,nm3226600
18	tt0235916	nm0101382,nm1172823,nm0791236,nm1013649,nm0626440,nm1124244,nm0104025,nm0949906,nm0453809,nm0500072,nm1393851,nm0893358,nm0224990,nm0502527		nm0122339,nm0399368,nm1195768,nm0727035,nm2528552,nm1509546,nm0549354,nm0492951,nm1522129,nm3042476
19	tt0235917	nm1278937,nm0100871,nm0534587,nm0689412,nm1015020,nm0938935,nm1013649,nm1818040		nm1332821,nm0317513,nm0909904,nm1715534,nm1358790,nm3713192,nm6790781,nm1656354,nm2758663,nm2209990,nm1740768,nm2467082,nm2758735,nm0534587,nm0260368,nm0140902
20	tt0235918	nm1278937,nm1247501,nm0224990,nm0689412,nm0616835,nm0296586,nm0678001,nm2474165,nm0570767,nm1680221,nm0115527,nm0368029,nm0366924,nm0858686,nm0500072,nm0970388,nm1721787,nm1239997		nm0366924,nm4190666,nm0209589,nm0549354,nm0003243,nm0271527,nm0771547,nm0438612,nm0126386,nm0171719,nm4185463,nm4609070,nm5672067,nm0102196,nm4197542,nm1219219,nm3958548,nm1537173,nm3976409,nm1220133,nm2995437,nm0338337,nm0075978,nm0629456,nm0896000,nm1102074,nm2186362,nm1935121,nm0107466,nm0736711,nm0469334,nm1278452,nm0052246,nm1776820,nm1195768,nm0651692,nm1059729,nm3178549,nm0561660,nm1716328,nm1230605,nm2345328,nm0342032,nm1076885,nm1404969,nm2471686,nm1278937,nm0298380,nm3199719,nm2314960,nm5101095
21	tt0235923	nm1264053,nm0720383		nm0890679,nm0401850,nm0874106,nm0175239,nm0995937,nm0462814,nm1546020,nm0600126,nm0021993,nm0770158
22	tt0237123	nm0219513		nm0595590
23	tt0237987	nm0529172		nm0486007,nm1172171,nm1398474,nm0006488,nm0440799,nm0455886,nm0818009,nm2850727,nm0300756,nm0326246,nm1872845,nm0640284,nm1049091,nm0742780
24	tt0238784	nm0044803,nm0792371,nm0518910,nm0155117,nm0650905,nm0003150,nm0224683,nm0657763,nm0956910,nm0322128,nm0541562,nm0006616,nm0385151,nm0075669,nm0733415,nm0235092,nm0002887,nm0002973,nm0027413,nm0281869,nm0632382,nm0762541,nm0258748,nm0337675,nm0485878,nm0500444,nm0545763,nm0007008,nm0235852,nm0283943,nm0326837,nm0392237,nm0056006,nm0565892,nm0601963,nm0333239,nm0343687,nm0485637,nm0490792,nm0579318,nm0625065,nm0776317,nm0795407,nm0926526,nm0001601		nm0792371,nm0657763,nm0456990,nm1129488,nm0742749,nm0493018,nm0919043,nm1118282,nm0044828,nm1646565,nm0494983,nm0033154,nm0260870,nm0073790,nm0695080,nm0956785,nm1463273,nm0009178,nm0268915,nm0463176,nm0782360,nm0914109,nm0374302,nm0518366,nm0849654,nm0006815,nm0703182,nm0709921,nm1205551,nm1119038,nm2217962
25	tt0238793	nm0703745,nm0128452,nm0071734,nm0461628,nm0446232,nm0835173,nm0797545,nm0461158,nm0557345,nm0212381,nm0365800,nm0391905		nm1080182,nm0533283,nm0502727,nm1346822,nm0391340,nm0846422,nm0829593,nm0928495,nm9114061,nm1212018,nm1274514,nm0781736,nm0378354,nm0561394,nm0639987,nm0943530,nm0711885,nm0396824
26	tt0239195	nm0227295,nm0800301,nm0218039,nm0103578,nm0454660,nm0918999,nm0460172		nm0663789,nm3237224
27	tt0241088	nm0563243,nm0090386,nm0810026		nm0056187,nm0090386,nm0322090,nm0385630,nm0563243,nm0830352,nm1414741,nm1802537,nm0251736,nm1262337,nm0085116,nm0378724,nm0858657,nm0197196,nm1698571,nm0736622,nm0441832,nm0524240,nm0628007,nm0840015,nm0900140,nm0860197,nm0134678,nm2992620
28	tt0242210	nm0465289		nm0066703,nm0457698
29	tt0242949	nm0500444,nm0874716,nm0661751,nm0198991,nm0001756,nm0957197,nm0919514,nm0198642		nm0249421,nm0567129,nm0153078,nm0224670,nm0755293,nm1093728,nm0509511
30	tt0243069	nm0818465,nm0101385,nm0174068,nm0002413,nm0592813,nm0470971,nm0052059		nm0004810,nm0319213,nm0793062,nm0819487,nm0939128,nm0604688,nm0604360,nm1041475,nm0100772,nm0295642,nm2705201
31	tt0244365	nm0000373,nm0471862,nm0892144,nm0484464,nm0833191,nm0057106,nm0176448,nm0176702,nm0926215,nm0515237,nm0153191,nm0206259,nm0606845,nm0934664,nm0000536,nm0463926,nm0373154,nm0000996,nm0750691,nm0343687		nm0075834,nm0103804,nm0734472,nm0097004,nm0839943,nm0835040,nm0415110,nm0415111,nm1000108,nm0085220,nm0182873,nm0272989,nm0793062,nm0716320,nm0716321,nm0329047,nm0215269,nm0558052,nm0295165,nm0107524,nm0493855,nm0240384,nm1027060,nm0826291,nm7610846,nm0189101,nm0642591,nm1243918,nm0114399,nm0255473,nm0565094,nm0864834
32	tt0245612	nm0594084,nm1060975,nm1236503,nm3383741		nm1890325,nm1899385,nm2804872,nm3888948,nm0233735,nm0245786,nm3463646,nm1046645,nm1150938,nm5077567,nm3384509,nm0121423,nm2097093,nm1059021,nm1586356,nm2101208,nm1270457,nm1598205
33	tt0247081	nm0690607,nm0514278,nm0621137,nm0198991,nm0163892,nm0444709,nm0488688,nm0762541,nm0385151,nm0946182,nm0776317,nm0783751,nm0956910,nm0001319,nm0733415,nm0070474,nm0330057,nm0772095,nm0003080,nm0336241,nm0005088,nm0002887,nm0696309,nm0132095,nm0001493,nm0844358,nm0509183,nm0606845,nm0001650		nm0005082,nm0757218,nm0501890,nm0441300,nm0825744,nm0374950,nm0251328,nm0551892,nm1188346,nm1188358,nm1068423,nm1068424,nm1288966,nm0121154,nm0035952,nm0287986,nm0261914,nm2384326,nm0854557,nm0925878,nm2965951
34	tt0247082	nm0004838,nm0806914,nm0175907,nm0134176,nm0849236,nm0003557,nm0587508,nm0277830,nm0163892,nm0247123,nm0641343,nm0054077,nm0002749,nm0251032,nm0031398,nm0942869,nm0180891,nm0548533,nm0764776,nm0806252,nm0500609,nm0004610,nm0066584,nm0047458,nm0000233,nm0001243,nm0394032,nm0005204,nm0788589,nm0914368,nm0506461,nm0509183,nm0666274,nm0779641,nm0906096,nm0003163,nm0258066,nm1879589,nm0864936,nm2284715,nm0211523,nm0818465,nm0924693,nm0941276,nm0076997,nm0788167,nm0354024,nm0270966,nm0783751,nm0106230,nm0064797,nm0726975,nm0946475,nm0402493,nm0907041,nm0343622		nm0958499,nm0578856,nm0788167,nm2140990,nm0075785,nm0008935,nm1305006,nm0847860,nm0053816,nm3162096,nm1721648,nm0222624,nm0231929,nm0513766,nm2125164,nm0125777,nm0359438,nm0243019,nm0364709,nm2199826,nm0134176,nm0821466,nm0221949,nm0859918,nm0917131,nm1453745,nm0677956,nm1112369,nm0550158,nm2184587,nm0566972,nm1600149,nm0969782,nm3430259,nm0588128,nm0003557,nm0000233,nm0583264,nm0277830,nm0065847,nm3788469,nm3368981,nm0926231,nm4185153,nm1157808,nm1999203,nm0239229,nm0952590,nm0229696,nm0889576,nm2530943,nm2521061,nm0759149,nm0036950,nm0270966,nm0521143,nm3364182,nm0770939,nm0005120,nm0890808,nm2766695,nm2703494,nm1347561,nm1659835,nm2458838
35	tt0247091	nm0908833,nm0272704,nm0810553,nm0762541,nm0592813,nm0563039,nm0235852,nm0779641,nm0838198,nm0075669,nm0872823,nm0027413,nm0065637,nm0001513,nm0829037,nm0836992,nm0118530,nm0931724,nm0258128,nm0385151,nm0490792,nm0124079,nm0616254,nm0806252,nm2036635,nm0292419,nm0146915,nm0002887,nm0509183,nm0122427,nm0769135,nm0887700,nm0113054,nm0002835,nm0044803,nm0002728,nm0198991		nm0065637,nm0122427,nm1096268,nm1072410,nm0121154,nm0221949,nm0501890,nm0757218,nm0614441,nm0818434,nm0125322,nm0269763,nm0766153,nm1117707,nm0533582,nm0703182,nm0116689,nm1212043,nm0777372,nm0169694,nm0342917,nm0574509,nm0899531,nm1802676,nm0724491,nm1132209,nm1219745,nm1041162,nm1863572,nm0897788
36	tt0247102	nm0258405,nm0068953,nm0307680,nm0015328,nm0000739,nm0006919,nm0005601,nm0485637,nm0926526,nm0791381,nm1080142,nm0316082,nm0874133,nm0762541,nm0697656,nm0579318,nm0255969,nm0276209,nm0802278,nm0958449,nm1390182,nm0743896		nm0015327,nm0382943,nm0438327,nm2535094,nm1856945,nm1856946,nm0114208,nm0480629,nm5539439,nm1665969,nm0250409,nm1079781,nm0888491,nm1509321,nm0274491,nm1740771,nm1561361,nm0524716,nm1860658,nm1366334,nm0748115,nm1134390,nm1244069,nm0402729,nm0019202,nm0101831,nm1237532,nm1041162,nm0450560,nm1056390,nm2062505,nm0832565,nm0112001,nm0585583,nm0859514,nm2373457
37	tt0247144	nm0870533,nm0005282,nm0811513,nm0926526,nm0918165,nm0956910,nm0874716,nm0383696,nm0506160,nm0456927,nm0923396,nm0541562,nm0180902,nm0458544,nm0148252,nm0583188		nm0456927,nm0305228,nm0722582,nm0101298,nm1137187,nm1027637,nm1001145,nm0123192,nm0349370,nm1297787,nm0006585,nm0807834,nm0276621,nm0792148,nm0338892,nm2164183,nm0509481,nm0566998,nm0717885,nm0590312,nm0888345,nm0189137,nm0389668,nm1003801,nm2166095,nm1182839,nm0141812,nm0956416,nm0087554,nm0271082,nm0633425,nm1449469,nm1449093,nm0239929,nm0495882,nm1451274,nm1163667,nm6187983,nm6251219,nm1428343,nm0450354,nm0828276,nm1048947,nm2170356,nm0897471
38	tt0247729	nm0184555,nm1452674,nm1245812,nm1448811,nm0155037,nm1131680,nm0722713,nm1304463		nm0184555,nm7176010,nm4931159,nm0568336,nm2779936,nm0880204,nm2222577,nm0122334,nm0075487,nm0783889,nm0022688,nm0882867,nm0905173,nm0066313,nm0227704,nm1546020,nm0725983,nm0806973,nm0990395,nm0329213,nm0813142,nm1914953,nm1047603
39	tt0247827	nm0311435,nm0456631,nm0334049,nm0667469,nm0307139,nm0614222		nm1080564,nm1219736,nm0456631,nm0287482,nm1618217,nm0334671,nm0881095,nm1236653,nm0581613,nm1084210,nm1338620,nm0066313,nm0219490,nm1130314,nm0032696,nm0492864,nm0239458,nm1055467,nm0382655,nm0514733,nm0555601,nm0382614,nm1720532,nm0842391,nm0880204,nm0733975,nm0341297,nm0614222,nm0934817,nm0126208,nm1079208,nm0456158,nm0498278
40	tt0247902	nm0837515,nm0435435		nm1444457,nm1227393,nm1227651,nm1280543,nm0805824,nm1281409,nm0847503,nm0948928,nm0812228,nm1062445,nm1771604
41	tt0248654	nm0050332,nm0003733,nm0006554,nm0687964,nm0000870,nm0191147,nm0257554,nm0693561,nm0590889,nm0037708,nm0392237,nm0158966,nm0002339,nm0564319,nm0666274,nm0851930,nm0873266,nm0597673,nm0136775,nm0143780,nm0916424,nm0203215,nm0366004,nm0551358,nm0787687		nm0050332,nm1362905,nm1280672,nm0166498,nm0732206,nm1001155,nm0118420,nm0813561,nm0028982,nm0995597,nm0003994,nm1720532,nm10551634
42	tt0249327	nm0837515,nm0435435,nm1720546		nm1444457,nm2922750,nm1205951,nm0948928,nm1227393,nm1227651,nm0805824,nm0812228,nm0847503,nm1062445,nm3337154,nm1280543,nm0314153,nm0675708,nm1725023
43	tt0250875	nm11977411,nm2336581,nm1504630		nm7327358,nm4170386,nm4345177,nm10564998
44	tt0251497	nm0232920,nm0312290,nm0042056,nm1427758,nm1266407,nm0188385,nm2246987,nm3731835,nm2239625,nm2301273,nm1066450,nm2503913,nm0849538,nm3304235,nm2614595,nm1757001,nm1114689,nm2363615,nm1626413,nm2427231,nm1358870,nm1642615,nm0574103,nm1935747,nm1288396,nm1788624,nm1132066		nm0596393,nm6998740,nm2471906,nm0279567,nm1754530,nm10581112,nm5333839,nm7977946,nm10428893,nm8570181,nm5088530,nm2910866,nm5226744,nm3979466,nm6602466,nm2222623,nm6779238,nm3910560,nm10175666,nm5193711,nm8510070,nm10581110,nm2446078,nm3979395,nm11118847,nm7633652,nm12570176,nm7317806,nm13364413,nm5440435,nm0120455,nm1435053,nm0797192,nm3605555
45	tt0255734	nm0490792,nm0090877,nm0505152,nm0003289,nm0921464,nm0400958,nm0357143,nm0579318,nm0330140,nm0483302,nm0006996,nm0925870,nm0087071,nm0650905,nm0477129,nm0957197,nm0874133		nm0551979,nm0771484,nm0178589,nm0326369,nm0325969,nm0446264,nm0009160,nm0860188,nm1106214,nm0277466,nm0700770,nm0040138,nm0797772,nm0411448,nm0640691,nm0174396,nm0867542,nm0035536,nm0035537,nm0436048,nm0476274,nm0355714,nm1847976,nm0322791,nm0777390,nm0324477,nm0893198,nm1406839,nm0400873,nm0448909
46	tt0256278	nm0879245,nm0528720,nm0370627,nm0396107,nm0282708,nm0386411,nm0444848,nm0757084		nm0411127,nm0528720,nm0545387,nm2120520
47	tt0257295	nm4890336,nm0236103,nm0520471,nm2541639,nm3360099,nm1035507,nm2256901,nm3044084		
48	tt0257315	nm0852019,nm0125753,nm0680671,nm0004105,nm0401982		nm0057665,nm0006396,nm0376835,nm0035536,nm0035537,nm0505384,nm0591208,nm0813442,nm0377784,nm0027526,nm1891942,nm1065143,nm0420346,nm0878942,nm0381744,nm0503167,nm1132610,nm1879436,nm0793858,nm0188492,nm0770974,nm0698095,nm0142627,nm2208729,nm0821643
49	tt0259141	nm0075331,nm0970607,nm0858355,nm1638871,nm0918465,nm0324713,nm0366935,nm1635535,nm2926672,nm0129664,nm0366792,nm2705237,nm0215448,nm1452674,nm0368906,nm1541845,nm0161125,nm2170500,nm0646515,nm0888320,nm0820065,nm0814295,nm0420850,nm0873111		nm0135184,nm0458807,nm0736966,nm0805133,nm0886759,nm0132644,nm0066313,nm0458764,nm0700133,nm0824900,nm0017447,nm2398585,nm1150938,nm0046042,nm2381405,nm0750313,nm0386674,nm0341297,nm0349966,nm0782402,nm0834669,nm1048706,nm1336538,nm0649870,nm1338620,nm1152581,nm0319667,nm1406664,nm2242750,nm1063158,nm0338249,nm0239635,nm0410810
50	tt0259733	nm0644397,nm0299563,nm1016595,nm0522327,nm0672873,nm0822043,nm0486010,nm0589284,nm0071734,nm0215617,nm1317262,nm0715371,nm0680629,nm0262561,nm0461158,nm1305344,nm0856827,nm0093322,nm0471461,nm0404241,nm0081590		nm0532623,nm0926231,nm0188520,nm6365936,nm0590343,nm0592535,nm1284746,nm0432133,nm1016595,nm0570370,nm2328663,nm1201711,nm2138918,nm1308632,nm1104716,nm1307324,nm0915489,nm0975294,nm1974080,nm1228275,nm0071734,nm0390157,nm0672873,nm0695112
51	tt0260602	nm0533557,nm0177328,nm0521425,nm0468702,nm0752048		nm0035952,nm1104038,nm0060926,nm1129619,nm1049642,nm0206782,nm0219490,nm0230032,nm0239458,nm0279576,nm0287482,nm0287986,nm0321167,nm0349966,nm0366554,nm0394447,nm1130037,nm1080564,nm0459822,nm0465576,nm0486007,nm0005124,nm0506719,nm0566407,nm1665990,nm0581613,nm1989428,nm0609600,nm0611100,nm4746447,nm1019655,nm0677215,nm0697052,nm0710020,nm0744793,nm0752728,nm2135478,nm0774792,nm1115317,nm0820852,nm0004056,nm0162607,nm0832309,nm1761123,nm0834669,nm0842391,nm0886759,nm0918852,nm0934897
52	tt0260615	nm0601095,nm0933002,nm0578757		nm0303335,nm1358357,nm0539900,nm0574692,nm0940747
53	tt0262150	nm0939917,nm0219513,nm0512627		nm0602836,nm0147700,nm0726978,nm0512627,nm0558612
54	tt0264235	nm0004332,nm0769840,nm0153078,nm0330057,nm0825731,nm0073688,nm0541635,nm0009953,nm0307531,nm0661751,nm0874133,nm0469689,nm0625458,nm0385644,nm0641721		nm0202970,nm0769840,nm0073688,nm0541635,nm3225654,nm0371351,nm0500140,nm1020904,nm6601073
55	tt0264263	nm0871860		nm0005069,nm0424216,nm0871860,nm1035634,nm0546640,nm1697594,nm2365065
56	tt0268077	nm0578162		nm0007184,nm0154074,nm0453996,nm0567143,nm0005295,nm0695108,nm0827868,nm0001778,nm0920517
57	tt0272388	nm0600647,nm0186038,nm0304432,nm0773985		nm0366554,nm0132644,nm0162607,nm0319667,nm0075978,nm0304432,nm0934897,nm0455497,nm0536440,nm0022530,nm0909821,nm0394447,nm0731602,nm0842391,nm1129619,nm1130037,nm0677215,nm0773985,nm0284980,nm0486007,nm0524887,nm0057381,nm0166256,nm0213450,nm0300265,nm0335666,nm0510674,nm0615780,nm0736609,nm0741697,nm0761498,nm3299091,nm0807977,nm0852433,nm0465827,nm0579668,nm0834669,nm5927607,nm5927608
58	tt0272397	nm0256350		nm0727041,nm0844294,nm0877613
59	tt0272980	nm0661751,nm0002835,nm0003163,nm0865847		nm0001459,nm0865847,nm0553308,nm0237574,nm1044461,nm1080925,nm0909478,nm2668921
60	tt0272993	nm0255411,nm1031708,nm0295740,nm0100627,nm0159745,nm0404809		nm0159745,nm0404809,nm1204427,nm1231243,nm1232670,nm0458001,nm0727292,nm1206006
61	tt0273028	nm0269463,nm0082450,nm0609549,nm0357453,nm0440458,nm0031976,nm0151540		nm0031976,nm0736622,nm0745247,nm0003249,nm0831557,nm0534983,nm1493255,nm1494121,nm0286715,nm0608034
62	tt0273366	nm0002887,nm0779641,nm0001019,nm0003167,nm0169874,nm0147882,nm0271095,nm0640847,nm0390822,nm0295272,nm0411477,nm0750916,nm0730894,nm1080142,nm0124079,nm0599885,nm0001016,nm0208923,nm0789834,nm0930041,nm0265954,nm0743093		nm0591673,nm1039374,nm0537542,nm0875635,nm0332447,nm1039373,nm0851945,nm0257171,nm0257177,nm0048996,nm0831741,nm0089633,nm1044447,nm0130360,nm2444210,nm1965721
63	tt0273379	nm0132600,nm0443153		nm0030969,nm0443153,nm1222569,nm0818730
64	tt0273855	nm0258405,nm0142363,nm0485637,nm0773536,nm0533414,nm0520893,nm0795407,nm0307680,nm2723713,nm0885016,nm0533383,nm0316082,nm0928219,nm0228436,nm0100681,nm1349040,nm0132896,nm0913637,nm0771673,nm0915462,nm0915460,nm0330719,nm0128225,nm0608402,nm0277310,nm0927042		nm0720009,nm0001834,nm0915462,nm0915458,nm0915460,nm1349040,nm0520893,nm0055756,nm0885016,nm0424688,nm1263947,nm0740332,nm0461463,nm1862991,nm1010379,nm0386488,nm1866417,nm0357457,nm0357464,nm1864771,nm0095504,nm1096619,nm0360288,nm1175877,nm1003823,nm0600132,nm0606594,nm0908409,nm1869110,nm0140109,nm1262683,nm2841768,nm1844735,nm0956782,nm1509321
65	tt0274298	nm0213709,nm0152640,nm0389972,nm0498108,nm0319412,nm0375973,nm0007708,nm0002413,nm0141222,nm0561879,nm0269899,nm0742819,nm0926215		nm0375973,nm0645640,nm0799155,nm3074724,nm0952502,nm0852073,nm0266023,nm0053426,nm0053449,nm1497237,nm0842397,nm1409941,nm0531973
66	tt0275137	nm0525665,nm0722713		nm0004170,nm0551376,nm0795975,nm0796950,nm0075487,nm0568336,nm0283897,nm1250323,nm0474212,nm0227704,nm0394447,nm1132610,nm0880204,nm0522454,nm0863622,nm4566692,nm0725983,nm2406394,nm0444634,nm0456158,nm1208498,nm0367982,nm1189825,nm1189346
67	tt0275140	nm0697910,nm0211523,nm0793455,nm0552140,nm0053157,nm0538744,nm1226492,nm0952352,nm0152650,nm0001139,nm0320987,nm0171315,nm0003704,nm0616254,nm0686853,nm0769135,nm0636165,nm0908833,nm0106230,nm0380802,nm0276317,nm0002728,nm0159154,nm1392007,nm1734368,nm0570995,nm0872442,nm2343031,nm0543911,nm0002835,nm0251057,nm0792309,nm0235852,nm0067819,nm0924693,nm0438201,nm0921464,nm0002704,nm0286517,nm0371348,nm0534850,nm1286057		nm0049569,nm0937725,nm0500329,nm1173204,nm0552588,nm0583264,nm1788547,nm0176689,nm0748028,nm0827530,nm0248746,nm2059056,nm0126290,nm0338396,nm0826291,nm0714246,nm0155961,nm0718060,nm0071299,nm2604261,nm0642668,nm1247105,nm2040540,nm1285688,nm0653899,nm2842577,nm0029556,nm0624645,nm0635568,nm1236454,nm0513766,nm0458318,nm0540468,nm0592254,nm1014207,nm0104333,nm1157808,nm0085242,nm1546026,nm0694130,nm0304461,nm2579344,nm0456063,nm0455468,nm0622250,nm0958418,nm2274313,nm0355329,nm3976337,nm0005610,nm0861382
68	tt0278191	nm0673572,nm0251848,nm5190107,nm0860231		nm5158058
69	tt0278238	nm0023317,nm0850733,nm0767748,nm0616835,nm0719952		nm0850733,nm1635535,nm1734334,nm0714418,nm1584126,nm0748796,nm0063769,nm0819711,nm1236879,nm1147326,nm0028764,nm0949124,nm0788130,nm0542595,nm0808723,nm1297343
70	tt0278245	nm0148252,nm0755965,nm0583188,nm0180902		nm0169362,nm1073041,nm0059724,nm0242244,nm1147756,nm0816165,nm1027637,nm0006585,nm0903636,nm1038093,nm1000263,nm7990512,nm0089946,nm0755816,nm1109675,nm0587576
71	tt0278251	nm0140617,nm0551953,nm0939917,nm0692714,nm0420352		nm0630099,nm1633145,nm1879436,nm1891942,nm2163353,nm2678862,nm2524484,nm2928607,nm2151333
